"Id";"Data transakcji / wyceny";"Województwo";"Powiat";"Gmina";"Miejscowość";"Dzielnica";"Obręb geodezyjny";"Arkusz mapy";"Ulica";"Nr domu";"Nr lokalu";"Powierzchnia użytkowa (m2)";"Cena";"Cena m2 p.u.";"Cena z uwzględnieniem miejsca postojowego";"Cena m2 p.u. z uwzględnieniem miejsca postojowego";"Kondygnacja lokalu";"Liczba kondygnacji";"Liczba izb";"Rok budowy";"Rodzaj budynku";"Stan prawny lokalu";"Stan prawny gruntu";"Źródło informacji";"Opis";"Konstrukcja budynku";"Cena brutto";"Cena brutto m2 p.u.";"Cena brutto z uwzględnieniem miejsca postojowego";"Cena brutto m2 p.u. z uwzględnieniem miejsca postojowego";"Nr KW";"Sąd wieczystoksięgowy";"Nr aktu notarialnego";"Źródło danych do wpisu";"Sprzedający";"Kupujący";"Pomieszczenia przynależne - ilość";"Pomieszczenie przynależne - opis";"Cena p. przynależnego zawarta w cenie transakcyjnej";"Pomieszczenia przynależne - Cena za sztukę";"Liczba miejsc postojowych";"Rodzaj miejsca postojowego";"Cena m. postojowego zawarta w cenie transakcyjnej";"M. postojowe - Cena za sztukę";"Pomieszczenia inne przynależne";"Pozostałe obiekty";"Funkcjonalność lokalu";"Standard lokalu";"Powierzchnia użytkowa budynku";"Standard techniczny budynku";"Modernizowany w ostatnich 5 latach";"Ekspozycja lokalu";"Winda";"Kod pocztowy";"Osiedle";"Strefa miasta";"Otoczenie";"Dostępność komunikacyjna";"Źródło ceny";"Cena (waluta)";"Waluta";"Kurs waluty z dn. transakcji";"Stan prawny budynku";"Dział III KW lokalu";"Dział III KW gruntu";"Wartość rynkowa";"Wartość odtworzeniowa";"Stawka VAT";"M. postojowe - Stawka VAT";"Data utworzenia";"Data modyfikacji";"Wpisana przez";"Modyfikowana przez";"Świadectwo charakterystyki energetycznej";"Nr św. ch. energetycznej";"Wskaźnik zapotrzebowania na energię pierwotną (EP)";"Wskaźnik zapotrzebowania na energię pierwotną (EK)";"Numer działki";"Pole powierzchni gruntu";"Udział"
"";"2017-05-03";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131 ";"1";"81.29";"384888.89";"4734.76";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"Brak informacji czy cena netto/brutto, ceny unettowiono ;parter, 3 pokoje w tym jeden z aneksem kuchennym połączony z przedpokojem,łazienka, łazienka wc, wiatrołap, oraz pom. przynależne-garaż 2 stanowiskowy o pow-r44.26m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"415680.00";"5113.54";"";"";"WR1K/00359219/9";"Sąd Rejonowy dla Wrocławia - Krzyków";"11026/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"12626/2202285
"
"";"2017-05-23";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131 ";"2";"81.28";"379629.63";"4670.64";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;13 pokoje w tym jeden z aneksem kuchennym połączony z przedpokojem, łazienka,wc, wiatrołap, poddasze nieużytkowe oraz pom. przynależne-garaż 2 stanowiskowy opow-ni 36.18m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2";"";"410000.00";"5044.29";"";"";"WR1K/00316612/1.WR1K/00359207/2";"Sąd Rejonowy dla Wrocławia - Krzyków";"1103/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"11778/1839516
"
"";"2017-05-31";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131a ";"1";"95.78";"426888.89";"4456.97";"";"";"";"";"4";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;parter, 4 pokoje w tym jeden z aneksem kuchennym połączony z przedpokojem,łazienka, wc, przedsionek oraz pom. przynależne-garaż 2 stanowiskowy o pow-ni57.22m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"461040.00";"4813.53";"";"";"WR1K/00359664/3";"Sąd Rejonowy dla Wrocławia - Krzyków";"11501/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"15346/1839516
"
"";"2017-05-30";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131 a ";"2";"98.03";"409259.26";"4174.84";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;1 piętro,3 pokoje w tym jeden z aneksem kuchennym połączony z przedpokojem,łazienka, pom. gospodarcze, schody na parter,poddasze nieużytkowe o pow-ni68.68m2, oraz pom. przynależne-garaż 2 stanowiskowy o pow-ni 35.61 m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"442000.00";"4508.82";"";"";"WR1K/00359537/4";"Sąd Rejonowy dla Wrocławia - Krzyków";"11419/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"13424/1839516
"
"";"2017-06-12";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131aa ";"1";"97.02";"426888.89";"4400.01";"";"";"";"";"4";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;parter, położone na 2 poziomach:4 pokoje w tym jeden z aneksem kuchennympołączony z przedpokojem, łazienka, wc, przedsionek oraz położone w piwnicy pom.przynależne-garaż 2 stanowiskowy o pow-ni 57.22m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"461040.00";"4752.01";"";"";"WR1K/00360251/5";"Sąd Rejonowy dla Wrocławia - Krzyków";"1273/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"15487/1839516
"
"";"2017-11-14";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131 aa ";"2";"96.98";"409296.30";"4220.42";"";"";"";"";"4";"";"wielorodzinne";"Prawo własności";"";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;1 piętro, położone na 2 poziomach: 3 pokoje w tym jeden z aneksem kuchennympołączony z drugim pokojem, łazienka, pom. gospodarcze, schody na parter ipoddasze nieużytkowe o pow-ni 59.69m2, oraz pom. przynależne-garaż 2stanowiskowy o pow-ni 35.61 m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2";"";"442040.00";"4558.05";"";"";"WR1K/00316612/1";"Sąd Rejonowy dla Wrocławia - Krzyków";"11595/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"13296/1839516
"
"";"2017-06-02";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131ab ";"1";"80.7";"388888.89";"4818.95";"";"";"";"";"4";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"Brak informacji czy cena netto/brutto, ceny unettowiono btutto;parter, 4 pokoje w tym jeden z aneksem kuchennym połączony z przedpokojem,łazienka, wiatrołap, oraz pom. przynależne-garaż 2 stanowiskowy o pow-ni 44.66m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"420000.00";"5204.46";"";"";"WR1K/00359844/9";"Sąd Rejonowy dla Wrocławia - Krzyków";"11669/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"12626/1839516
"
"";"2017-05-24";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131 ab ";"2";"81.12";"382407.41";"4714.10";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;1 piętro, położone na 2 poziomach: 3 pokoje w tym jeden z aneksem kuchennympołączony z przedpokojem, łazienka,wc, wiatrołap i poddasze nieużytkowe o pow-ni50.13m2, oraz pom. przynależne-garaż 2 stanowiskowy o pow-ni 36.18m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"413000.00";"5091.22";"";"";"WR1K/00359249/8";"Sąd Rejonowy dla Wrocławia - Krzyków";"11051/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"11778/1839516
"
"";"2017-06-02";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131b ";"1";"81.18";"410814.81";"5060.54";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;parter, 3 pokoje w tym jeden z aneksem kuchennym połączony z przedpokojem,łazienka, wc, wiatrołap, oraz pom. przynależne-garaż 2 stanowiskowy o pow-ni44.66m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"443680.00";"5465.39";"";"";"WR1K/00359845/6";"Sąd Rejonowy dla Wrocławia - Krzyków";"11653/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"12626/l1839516
"
"";"2017-05-26";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131b ";"2";"80.62";"409612.96";"5080.79";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;1 piętro,3 pokoje w tym jeden z aneksem kuchennym połączony z przedpokojem,łazienka, wc , wiatrołap, poddasze nieużytkowe o pow-ni 50.13m2, oraz pom.przynależne-garaż 2 stanowiskowy o pow-ni 36.18m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"442382.00";"5487.25";"";"";"WR1K/00359438/0";"Sąd Rejonowy dla Wrocławia - Krzyków";"11268/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"11778/1839516
"
"";"2017-06-06";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131ba ";"1";"97.06";"452814.81";"4665.31";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;parter, położone na 2 poziomach:3 pokoje w tym jeden z aneksem kuchennympołączony z przedpokojem, łazienka, wc, wiatrołap, oraz położone w piwnicy pom.przynależne-garaż 2 stanowiskowy o pow-ni 57.22m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"489040.00";"5038.53";"";"";"WR1K/00359914/1";"Sąd Rejonowy dla Wrocławia - Krzyków";"12580/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"15487/1839516
"
"";"2017-05-31";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131bb ";"1";"101.44";"467629.63";"4609.91";"";"";"";"";"4";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;parter, 4 pokoje w tym jeden z aneksem kuchennym połączony z przedpokojem,łazienka, wc, przedsionek, oraz pom. przynależne-garaż 2 stanowiskowy o pow-ni63.08m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"505040.00";"4978.71";"";"";"WR1K/00359692/8";"Sąd Rejonowy dla Wrocławia - Krzyków";"11469/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"16543/1839516
"
